Date,Open,High,Low,Close,Vol.
2013-02-23,30.3,30.7,28,29.8,72.28K
2013-02-24,29.8,30.4,29.2,29.9,24.28K
2013-02-25,29.9,30.4,29.5,30.4,26.78K
2013-02-26,30.4,31.7,30.1,31.1,42.86K
2013-02-27,31.1,31.6,30.8,30.9,30.47K
2013-02-28,30.9,34.5,30.9,33.4,126.52K
2013-03-01,33.4,34.9,32.9,34.5,39.79K
2013-03-02,34.5,34.8,33.2,34.3,36.66K
2013-03-03,34.3,34.5,33.8,34.5,12.53K
2013-03-04,34.5,36.7,34.2,36.2,46.77K
2013-03-05,36.2,40.7,36.2,40.3,85.43K
2013-03-06,40.3,49.1,40.1,41,126.45K
2013-03-07,41,45.5,33.3,42,157.32K
2013-03-08,42,44.5,41,44.2,47.10K
2013-03-09,44.2,47,43.4,46.8,44.48K
2013-03-10,46.8,48,45.5,46,36.36K
2013-03-11,46,48.5,45.5,48.4,41.39K
2013-03-12,48.4,48.4,36.7,44.3,183.41K
2013-03-13,44.3,47.3,43.8,46.9,49.52K
2013-03-14,46.9,48,46,47.2,37.04K
2013-03-15,47.2,47.5,46.4,47,20.29K
2013-03-16,47,47.4,46.3,47,16.32K
2013-03-17,47,47.7,46.8,47.4,13.94K
2013-03-18,47.4,52.9,47.1,51.6,65.31K
2013-03-19,51.6,62,50,59.1,111.70K
2013-03-20,59.1,66,57.7,64.5,93.14K
2013-03-21,64.5,74.9,63.1,70.8,94.31K
2013-03-22,70.8,73.8,65,69.9,73.20K
2013-03-23,69.9,70.5,52.3,64.3,150.46K
2013-03-24,64.3,72.5,62.7,71.5,42.02K
2013-03-25,71.5,78,69.5,73.6,79.74K
2013-03-26,73.6,79.7,73.1,78.5,56.67K
2013-03-27,78.5,89.5,78.4,88.9,72.23K
2013-03-28,88.9,95.7,75,86.2,140.26K
2013-03-29,86.2,93.1,83,90.5,83.18K
2013-03-30,90.5,95,87,92.2,37.29K
2013-03-31,92.2,93.8,91,93,21.13K
2013-04-01,93,106,92.2,104,90.56K
2013-04-02,104,118.4,99,118,81.29K
2013-04-03,118,147,110,135,152.71K
2013-04-04,135,142.1,116.4,132.1,88.36K
2013-04-05,132.1,144.9,130.2,142.3,68.59K
2013-04-06,142.3,143.9,139.5,142.6,18.29K
2013-04-07,142.6,164.9,142.6,162.3,60.96K
